ddlat;ddlon;tax;higher.tax.rank;coly;city
-17.66328271;-70.74362654;Tillandsia latifolia;BROMELIACEAE;2022;PE
-1.333333;-79.9;Tillandsia latifolia;BROMELIACEAE;1968;EC
-11.893603;-76.440636;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.017649;-76.832287;Tillandsia latifolia;BROMELIACEAE;2020;PE
-11.234103;-77.37667;Tillandsia latifolia;BROMELIACEAE;2020;PE
-12.262878;-76.900908;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.046373;-77.042754;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.110989;-77.414222;Tillandsia latifolia;BROMELIACEAE;2025;PE
-12.106625;-76.925696;Tillandsia latifolia;BROMELIACEAE;2023;PE
-6.869843;-79.771736;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.89731;-76.478919;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.062827;-76.930587;Tillandsia latifolia;BROMELIACEAE;2022;PE
-1.51688;-80.763334;Tillandsia latifolia;BROMELIACEAE;2020;EC
-6.86974;-79.771111;Tillandsia latifolia;BROMELIACEAE;2023;PE
-8.679973;-77.842197;Tillandsia latifolia;BROMELIACEAE;2024;PE
-11.896188;-76.43976;Tillandsia latifolia;BROMELIACEAE;2022;PE
-8.189884;-78.949151;Tillandsia latifolia;BROMELIACEAE;2024;PE
-15.183612;-75.214723;Tillandsia latifolia;BROMELIACEAE;2013;PE
-12.092778;-76.916668;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.067097;-76.928143;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.742806;-76.550606;Tillandsia latifolia;BROMELIACEAE;2024;PE
-2.271147;-78.947934;Tillandsia latifolia;BROMELIACEAE;2023;EC
-11.891789;-76.441233;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.917617;-76.43945;Tillandsia latifolia;BROMELIACEAE;2021;PE
-10.864894;-77.705139;Tillandsia latifolia;BROMELIACEAE;2024;PE
-10.502;-77.25;Tillandsia latifolia;BROMELIACEAE;2023;PE
-15.14806;-74.974766;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.896868;-76.438885;Tillandsia latifolia;BROMELIACEAE;2023;PE
-15.134747;-74.983488;Tillandsia latifolia;BROMELIACEAE;2025;PE
-12.410984;-76.766879;Tillandsia latifolia;BROMELIACEAE;2021;PE
-8.191745;-78.949869;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.165742;-76.829817;Tillandsia latifolia;BROMELIACEAE;2021;PE
-6.872835;-79.77187;Tillandsia latifolia;BROMELIACEAE;2022;PE
-10.452;-77.919;Tillandsia latifolia;BROMELIACEAE;2023;PE
-12.181598;-77.027975;Tillandsia latifolia;BROMELIACEAE;2025;PE
-14.848;-74.738;Tillandsia latifolia;BROMELIACEAE;2017;PE
-15.151111;-74.993056;Tillandsia latifolia;BROMELIACEAE;2019;PE
-12.163209;-76.831329;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.021196;-76.801323;Tillandsia latifolia;BROMELIACEAE;2020;PE
-15.216;-74.95;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.23443;-77.61182;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.343033;-76.755983;Tillandsia latifolia;BROMELIACEAE;2022;PE
-15.018924;-75.425801;Tillandsia latifolia;BROMELIACEAE;2015;PE
-12.067301;-76.928864;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.894092;-76.440446;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.072533;-77.087105;Tillandsia latifolia;BROMELIACEAE;2021;PE
-11.507134;-76.715443;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.727027;-76.455866;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.062311;-76.931003;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.962;-76.289;Tillandsia latifolia;BROMELIACEAE;2023;PE
-12.345011;-76.774855;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.346427;-76.773192;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.356134;-77.354784;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.08868;-76.918882;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.062929;-76.913676;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.338594;-76.772751;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.069524;-76.928193;Tillandsia latifolia;BROMELIACEAE;2022;PE
-15.148863;-74.97608;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.072533;-77.087105;Tillandsia latifolia;BROMELIACEAE;2021;PE
-7.177951;-78.701061;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.968915;-76.783662;Tillandsia latifolia;BROMELIACEAE;2020;PE
-11.895279;-76.440198;Tillandsia latifolia;BROMELIACEAE;2022;PE
-1.567258;-80.838417;Tillandsia latifolia;BROMELIACEAE;2021;EC
-11.739845;-76.610453;Tillandsia latifolia;BROMELIACEAE;2024;PE
-11.900838;-76.997427;Tillandsia latifolia;BROMELIACEAE;2018;PE
-11.915515;-76.43801;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.9968;-77.0294;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.25516;-76.897906;Tillandsia latifolia;BROMELIACEAE;2023;PE
-15.097889;-75.166989;Tillandsia latifolia;BROMELIACEAE;2012;PE
-1.481039;-80.789576;Tillandsia latifolia;BROMELIACEAE;2019;EC
-11.950371;-76.736024;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.864684;-76.430061;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.411254;-76.771688;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.99278;-77.035379;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.060406;-76.915686;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.356134;-77.354784;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.53104;-76.701541;Tillandsia latifolia;BROMELIACEAE;2024;PE
-11.988978;-77.030564;Tillandsia latifolia;BROMELIACEAE;2020;PE
-11.658241;-76.487297;Tillandsia latifolia;BROMELIACEAE;2024;PE
-15.151667;-74.994722;Tillandsia latifolia;BROMELIACEAE;2019;PE
-8.072878;-78.820433;Tillandsia latifolia;BROMELIACEAE;2025;PE
-12.326834;-76.701404;Tillandsia latifolia;BROMELIACEAE;2021;PE
-11.390051;-77.380587;Tillandsia latifolia;BROMELIACEAE;2021;PE
-11.23443;-77.61182;Tillandsia latifolia;BROMELIACEAE;2024;PE
-10.454945;-77.923149;Tillandsia latifolia;BROMELIACEAE;2023;PE
-16.911393;-72.043166;Tillandsia latifolia;BROMELIACEAE;2020;PE
-2.787457;-78.925995;Tillandsia latifolia;BROMELIACEAE;2015;EC
-11.390051;-77.380587;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.068804;-76.927472;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.338356;-76.772882;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.376902;-76.686833;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.061866;-76.914401;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.885551;-76.459743;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.066618;-76.922149;Tillandsia latifolia;BROMELIACEAE;2022;PE
-13.906063;-75.677788;Tillandsia latifolia;BROMELIACEAE;2016;PE
-10.452;-77.919;Tillandsia latifolia;BROMELIACEAE;2023;PE
-2.231987;-78.796805;Tillandsia latifolia;BROMELIACEAE;2025;EC
-12.007639;-76.701036;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.472853;-76.727804;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.968915;-76.783662;Tillandsia latifolia;BROMELIACEAE;2020;PE
-11.8111;-76.310032;Tillandsia latifolia;BROMELIACEAE;2021;PE
-1.5;-80.56666;Tillandsia latifolia;BROMELIACEAE;1991;EC
-8.00528;-79.11;Tillandsia latifolia;BROMELIACEAE;1986;PE
-9.7;-78.266667;Tillandsia latifolia;BROMELIACEAE;1986;PE
-2.2;-78.88;Tillandsia latifolia;BROMELIACEAE;1945;EC
-8.3;-78.82;Tillandsia latifolia;BROMELIACEAE;1983;PE
-1.4628;-78.1869;Tillandsia latifolia;BROMELIACEAE;1937;EC
-9.1839;-74.14;Tillandsia latifolia;BROMELIACEAE;1863;PE
-12.07;-77;Tillandsia latifolia;BROMELIACEAE;1993;PE
-13.08;-76.4;Tillandsia latifolia;BROMELIACEAE;1938;PE
-12.28;-76.87;Tillandsia latifolia;BROMELIACEAE;1928;PE
-8.32;-78.8;Tillandsia latifolia;BROMELIACEAE;1985;PE
-17.42;-70.93;Tillandsia latifolia;BROMELIACEAE;1983;PE
-9.1839;-74.14;Tillandsia latifolia;BROMELIACEAE;1939;PE
-9.1839;-74.14;Tillandsia latifolia;BROMELIACEAE;1929;PE
-12.13;-76.78;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.13;-76.78;Tillandsia latifolia;BROMELIACEAE;1994;PE
-11.68;-76.88;Tillandsia latifolia;BROMELIACEAE;1994;PE
-9.6;-78.32;Tillandsia latifolia;BROMELIACEAE;1964;PE
-7.97;-79.1;Tillandsia latifolia;BROMELIACEAE;1983;PE
-12.13;-76.78;Tillandsia latifolia;BROMELIACEAE;1994;PE
-15.85;-74.18;Tillandsia latifolia;BROMELIACEAE;1983;PE
-10.7;-77.78;Tillandsia latifolia;BROMELIACEAE;1965;PE
-9.1839;-74.14;Tillandsia latifolia;BROMELIACEAE;1929;PE
-7.97;-79.1;Tillandsia latifolia;BROMELIACEAE;1983;PE
-7.97;-79.1;Tillandsia latifolia;BROMELIACEAE;1983;PE
-12;-77.03;Tillandsia latifolia;BROMELIACEAE;1852;PE
-10.55;-77.83;Tillandsia latifolia;BROMELIACEAE;1986;PE
-12.13;-76.78;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.07;-77;Tillandsia latifolia;BROMELIACEAE;1993;PE
-2.35;-80.5;Tillandsia latifolia;BROMELIACEAE;1973;EC
-14.740256;-75.644097;Tillandsia latifolia;BROMELIACEAE;2013;PE
-2.35;-80.5;Tillandsia latifolia;BROMELIACEAE;1973;EC
-1.33;-79.9;Tillandsia latifolia;BROMELIACEAE;1968;EC
-3.25;-79.25;Tillandsia latifolia;BROMELIACEAE;1989;EC
-4.046944;-79.800278;Tillandsia latifolia;BROMELIACEAE;2015;EC
-2.36666;-78.88333;Tillandsia latifolia;BROMELIACEAE;1979;EC
-3.26666;-79.3;Tillandsia latifolia;BROMELIACEAE;1979;EC
-4.25;-79.51666;Tillandsia latifolia;BROMELIACEAE;1998;EC
-2.35;-80.5;Tillandsia latifolia;BROMELIACEAE;1973;EC
-4.28333;-79.26666;Tillandsia latifolia;BROMELIACEAE;1979;EC
-3.185278;-79.170278;Tillandsia latifolia;BROMELIACEAE;2005;EC
-2.86666;-78.93333;Tillandsia latifolia;BROMELIACEAE;1981;EC
-3.41666;-79.16666;Tillandsia latifolia;BROMELIACEAE;1979;EC
-12.435528;-76.752778;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.1385;-76.7846;Tillandsia latifolia;BROMELIACEAE;1994;PE
-2.7;-79.91666;Tillandsia latifolia;BROMELIACEAE;1987;EC
-4.046944;-79.800278;Tillandsia latifolia;BROMELIACEAE;2015;EC
-2.88333;-80.16666;Tillandsia latifolia;BROMELIACEAE;1988;EC
-2.76666;-80.05;Tillandsia latifolia;BROMELIACEAE;1987;EC
-1.84138;-80.73888;Tillandsia latifolia;BROMELIACEAE;1989;EC
-2.96666;-80.21666;Tillandsia latifolia;BROMELIACEAE;1987;EC
-1.84166;-80.73888;Tillandsia latifolia;BROMELIACEAE;1992;EC
-2.81666;-80.1;Tillandsia latifolia;BROMELIACEAE;1987;EC
-1.61666;-80.83333;Tillandsia latifolia;BROMELIACEAE;1994;EC
-12.419153;-76.757519;Tillandsia latifolia;BROMELIACEAE;2025;PE
-11.89731;-76.478919;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.188577;-77.035097;Tillandsia latifolia;BROMELIACEAE;2023;PE
-3.726135;-79.669708;Tillandsia latifolia;BROMELIACEAE;2023;EC
-14.462526;-75.702796;Tillandsia latifolia;BROMELIACEAE;2003;PE
-13.366356;-72.884606;Tillandsia latifolia;BROMELIACEAE;2019;PE
-11.6846;-76.8913;Tillandsia latifolia;BROMELIACEAE;1994;PE
-13.409;-76.047;Tillandsia latifolia;BROMELIACEAE;1994;PE
-2.35;-80.5;Tillandsia latifolia;BROMELIACEAE;1973;EC
-12.435528;-76.752778;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.138528;-76.784639;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.435528;-76.752778;Tillandsia latifolia;BROMELIACEAE;1994;PE
-13.409;-76.047;Tillandsia latifolia;BROMELIACEAE;1994;PE
-11.6846;-76.8913;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.138528;-76.784639;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.138528;-76.784639;Tillandsia latifolia;BROMELIACEAE;1994;PE
-12.138528;-76.784639;Tillandsia latifolia;BROMELIACEAE;1994;PE
-2.883;-80.166;Tillandsia latifolia;BROMELIACEAE;1988;EC
-2.816;-80.1;Tillandsia latifolia;BROMELIACEAE;1987;EC
-2.966;-80.216;Tillandsia latifolia;BROMELIACEAE;1987;EC
-2.35;-80.5;Tillandsia latifolia;BROMELIACEAE;1973;EC
-2.366;-78.883;Tillandsia latifolia;BROMELIACEAE;1979;EC
-3.266;-79.3;Tillandsia latifolia;BROMELIACEAE;1979;EC
-3.416;-79.166;Tillandsia latifolia;BROMELIACEAE;1979;EC
-2.866;-78.933;Tillandsia latifolia;BROMELIACEAE;1981;EC
-2.7;-79.916;Tillandsia latifolia;BROMELIACEAE;1987;EC
-3.416;-79.166;Tillandsia latifolia;BROMELIACEAE;1973;EC
-4.283;-79.266;Tillandsia latifolia;BROMELIACEAE;1979;EC
-11.30694;-77.47705;Tillandsia latifolia;BROMELIACEAE;2012;PE
-12.63158;-76.65825;Tillandsia latifolia;BROMELIACEAE;2012;PE
-10.31389;-77.61;Tillandsia latifolia;BROMELIACEAE;1978;PE
-7.966667;-79.1;Tillandsia latifolia;BROMELIACEAE;2002;PE
-7.966667;-79.1;Tillandsia latifolia;BROMELIACEAE;2002;PE
-3.41666;-79.16666;Tillandsia latifolia;BROMELIACEAE;1973;EC
-3.3;-79.46666;Tillandsia latifolia;BROMELIACEAE;1988;EC
-5.16667;-78.8;Tillandsia latifolia;BROMELIACEAE;1996;PE
-12;-77.03;Tillandsia latifolia;BROMELIACEAE;1977;PE
-3.3;-79.4;Tillandsia latifolia;BROMELIACEAE;1997;EC
-2.8164;-78.7;Tillandsia latifolia;BROMELIACEAE;2025;EC
-3.986539;-79.356911;Tillandsia latifolia;BROMELIACEAE;1982;EC
-9.16376;-74.37563;Tillandsia latifolia;BROMELIACEAE;1894;PE
-9.16376;-74.37563;Tillandsia latifolia;BROMELIACEAE;1894;PE
-9.16376;-74.37563;Tillandsia latifolia;BROMELIACEAE;1894;PE
-9.16376;-74.37563;Tillandsia latifolia;BROMELIACEAE;1894;PE
-2.566667;-78.616667;Tillandsia latifolia;BROMELIACEAE;1996;EC
